episode,method,m,score,is_IBR,is_MBR,min_eig,work,best_at
0,initial,150,-620.0,True,False,0.00018924940526312889,0,0
0,random,141,-530.0,True,False,0.00017663690204430398,44,77
0,learned,148,-600.0,True,False,0.00018919736321026598,50,8
1,initial,51,370.0,True,False,1.6491353804850453e-05,0,0
1,random,51,370.0,True,False,1.6491353804850453e-05,39,0
1,learned,45,430.0,True,False,1.4764914400567092e-05,50,48
2,initial,138,-500.0,True,False,0.0002526182131203269,0,0
2,random,126,-380.0,True,False,0.00019484789036096706,41,95
2,learned,124,-360.0,True,False,0.00024423883695637175,50,100
3,initial,30,560.0,False,False,0.0,0,0
3,random,30,560.0,False,False,0.0,41,0
3,learned,23,630.0,False,False,0.0,50,90
4,initial,1,30.0,False,False,0.0,0,0
4,random,26,600.0,False,False,0.0,41,65
4,learned,21,630.0,False,False,0.0,50,56
5,initial,73,150.0,True,False,1.6949868043860837e-05,0,0
5,random,73,150.0,True,False,1.6949868043860837e-05,42,0
5,learned,72,160.0,True,False,1.694083481684673e-05,50,2
6,initial,139,-510.0,True,False,0.00017024235166422663,0,0
6,random,128,-400.0,True,False,0.00015965625071271856,42,84
6,learned,119,-310.0,True,False,0.0001647352247734816,50,100
7,initial,1,30.0,False,False,0.0,0,0
7,random,30,560.0,False,False,0.0,42,80
7,learned,19,530.0,False,False,0.0,48,88
8,initial,65,230.0,True,False,4.919272320220028e-06,0,0
8,random,64,240.0,True,False,4.919204924017827e-06,44,2
8,learned,55,330.0,True,False,4.846930618252009e-06,50,96
9,initial,1,30.0,False,False,0.0,0,0
9,random,23,570.0,False,False,0.0,42,59
9,learned,21,590.0,False,False,0.0,50,72
10,initial,1,30.0,False,False,0.0,0,0
10,random,24,580.0,False,False,0.0,41,54
10,learned,17,470.0,False,False,0.0,50,96
11,initial,41,470.0,True,False,8.515198370575941e-06,0,0
11,random,41,470.0,True,False,8.515198370575941e-06,39,0
11,learned,39,490.0,True,False,7.9896157068201e-06,50,32
12,initial,39,490.0,True,False,8.032395380466555e-06,0,0
12,random,39,490.0,True,False,8.032395380466555e-06,39,0
12,learned,35,530.0,True,False,6.183725228923914e-06,50,52
13,initial,5,150.0,False,False,0.0,0,0
13,random,22,580.0,False,False,0.0,34,50
13,learned,21,630.0,False,False,0.0,50,84
14,initial,58,300.0,True,False,1.552895902429001e-05,0,0
14,random,58,300.0,True,False,1.552895902429001e-05,43,0
14,learned,58,300.0,True,False,1.552895902429001e-05,50,0
15,initial,78,100.0,True,False,9.641723827127918e-05,0,0
15,random,77,110.0,True,False,0.00010054226271804843,45,64
15,learned,69,190.0,True,False,8.455784116763833e-05,50,82
16,initial,28,540.0,False,False,0.0,0,0
16,random,31,550.0,False,False,0.0,47,7
16,learned,26,620.0,True,False,8.11054946516049e-07,50,36
17,initial,74,140.0,True,False,8.81211248563186e-05,0,0
17,random,74,140.0,True,False,8.81211248563186e-05,47,0
17,learned,71,170.0,True,False,8.805168491980319e-05,50,98
18,initial,1,30.0,False,False,0.0,0,0
18,random,28,600.0,True,False,3.6366182770240607e-07,43,71
18,learned,19,550.0,False,False,0.0,50,100
19,initial,71,170.0,True,False,3.9405745157397564e-05,0,0
19,random,68,200.0,True,False,3.907419965926875e-05,45,17
19,learned,70,180.0,True,False,3.940499307894095e-05,50,42
