episode,method,m,score,is_IBR,is_MBR,min_eig,work,best_at
0,initial,15,130.0,True,False,8.993739454018907e-07,0,0
0,greedy,9,190.0,True,False,2.717024972841313e-07,6,6
0,random,9,190.0,True,False,1.2885275034120167e-07,46,53
0,learned,9,190.0,True,True,5.054154848139059e-09,6,6
0,optimal,9,190.0,True,False,5.953649196768879e-07,0,0
1,initial,9,90.0,False,False,0.0,0,0
1,greedy,9,190.0,True,True,4.900353026170764e-07,6,6
1,random,9,170.0,False,False,0.0,51,69
1,learned,9,190.0,True,True,1.315036469981881e-07,6,6
1,optimal,9,190.0,True,False,9.273493935578696e-06,0,0
2,initial,1,30.0,False,False,0.0,0,0
2,greedy,9,190.0,True,False,9.606866351050972e-07,8,8
2,random,10,180.0,True,False,1.552244436175997e-06,53,87
2,learned,9,190.0,True,False,1.4167822861835275e-07,8,8
2,optimal,9,190.0,True,True,3.5142129747747713e-06,0,0
3,initial,7,110.0,False,False,0.0,0,0
3,greedy,9,190.0,True,True,3.106062193289813e-08,4,4
3,random,12,160.0,True,False,1.308478151993501e-07,48,19
3,learned,9,190.0,True,True,2.5762177405628127e-08,6,4
3,optimal,9,190.0,True,False,8.11323752011108e-05,0,0
4,initial,2,40.0,False,False,0.0,0,0
4,greedy,9,190.0,True,False,5.594309564844161e-06,7,7
4,random,10,180.0,True,False,1.976542663569248e-08,51,92
4,learned,9,190.0,True,True,1.2063405005694596e-08,7,7
4,optimal,9,190.0,True,False,1.3982572437686536e-05,0,0
5,initial,7,130.0,False,False,0.0,0,0
5,greedy,9,190.0,True,True,5.77693603965375e-07,2,2
5,random,9,190.0,True,True,5.77693603965375e-07,40,2
5,learned,9,190.0,True,True,5.482942739073801e-09,4,2
5,optimal,9,190.0,True,False,1.0488680471194986e-05,0,0
6,initial,1,10.0,False,False,0.0,0,0
6,greedy,9,190.0,True,False,2.2066464935538933e-05,8,8
6,random,10,180.0,True,False,8.770820070091356e-08,42,44
6,learned,9,190.0,True,False,4.571049034404453e-06,10,8
6,optimal,9,190.0,True,False,6.037446328890486e-05,0,0
7,initial,12,160.0,True,False,8.387372260515722e-06,0,0
7,greedy,9,190.0,True,True,8.533609083311937e-08,3,3
7,random,11,170.0,True,False,2.8935755301287343e-07,37,50
7,learned,9,190.0,True,True,2.0623471858891865e-06,3,3
7,optimal,9,190.0,True,False,7.918412404183246e-06,0,0
8,initial,8,140.0,False,False,0.0,0,0
8,greedy,9,190.0,True,True,2.1185352295198845e-07,3,3
8,random,10,160.0,False,False,0.0,53,85
8,learned,9,190.0,True,False,5.5782384876520694e-06,3,3
8,optimal,9,190.0,True,False,1.8549000643303002e-05,0,0
9,initial,16,120.0,True,False,2.7271957579707125e-07,0,0
9,greedy,9,190.0,True,True,4.8891112929950485e-08,7,7
9,random,9,190.0,True,True,5.194105022342227e-08,45,70
9,learned,9,190.0,True,True,1.1703075197995017e-07,7,7
9,optimal,9,190.0,True,True,2.0608349990267162e-05,0,0
10,initial,11,110.0,False,False,0.0,0,0
10,greedy,9,190.0,True,True,3.087350149642977e-06,6,6
10,random,10,180.0,True,False,7.777298028722895e-09,49,73
10,learned,9,190.0,True,True,1.7725425328330513e-06,6,6
10,optimal,9,190.0,True,False,1.0547233937776275e-05,0,0
11,initial,7,90.0,False,False,0.0,0,0
11,greedy,9,190.0,True,True,0.0,4,4
11,random,9,170.0,False,False,0.0,52,8
11,learned,9,190.0,True,True,2.4008524957239213e-08,4,4
11,optimal,9,190.0,True,False,6.651355316452592e-07,0,0
12,initial,1,10.0,False,False,0.0,0,0
12,greedy,9,190.0,True,False,1.7922839362361574e-06,8,8
12,random,12,160.0,True,False,6.11578146573386e-07,47,95
12,learned,9,190.0,True,False,1.2126373929977584e-05,10,8
12,optimal,9,190.0,True,False,4.876150501560165e-05,0,0
13,initial,12,160.0,True,False,2.1164330361846592e-05,0,0
