episode,method,step,score,edges,rank,rank_K,is_IBR,is_MBR,min_eig
0,initial,0,10.0,9,5,5,True,False,2.3467190181701124e-05
0,greedy,0,10.0,9,5,5,True,False,2.3467190181701124e-05
0,greedy,1,20.0,8,5,5,True,False,2.742371004666046e-07
0,greedy,2,30.0,7,5,5,True,False,2.1863268370132429e-07
0,greedy,3,40.0,6,5,5,True,False,1.6419145718062428e-07
0,greedy,4,50.0,5,5,5,True,True,1.6303568270862857e-07
0,random,0,10.0,9,5,5,True,False,2.3467190181701124e-05
0,random,1,10.0,9,5,5,True,False,2.3467190181701124e-05
0,random,2,10.0,9,5,5,True,False,2.3467190181701124e-05
0,random,3,20.0,8,5,5,True,False,2.742371004666046e-07
0,random,4,20.0,8,5,5,True,False,2.742371004666046e-07
0,random,5,20.0,8,5,5,True,False,2.742371004666046e-07
0,random,6,10.0,9,5,5,True,False,2.9673712355331775e-07
0,random,7,10.0,9,5,5,True,False,2.9673712355331775e-07
0,random,8,0.0,10,5,5,True,False,2.57137155259402e-05
0,random,9,0.0,10,5,5,True,False,2.57137155259402e-05
0,random,10,10.0,9,5,5,True,False,2.5364065424622825e-05
0,random,11,20.0,8,5,5,True,False,2.3588806789706686e-05
0,random,12,30.0,7,5,5,True,False,2.2648174195345486e-05
0,random,13,40.0,6,5,5,True,False,1.7066151443806268e-07
0,random,14,40.0,6,5,5,True,False,1.7066151443806268e-07
0,random,15,40.0,6,5,5,True,False,1.7066151443806268e-07
0,random,16,50.0,5,5,5,True,True,1.630356827086959e-07
0,random,17,50.0,5,5,5,True,True,1.630356827086959e-07
0,random,18,40.0,4,4,5,False,False,0.0
0,random,19,40.0,4,4,5,False,False,0.0
0,random,20,30.0,3,3,5,False,False,0.0
0,random,21,40.0,4,4,5,False,False,0.0
0,random,22,40.0,4,4,5,False,False,0.0
0,random,23,40.0,4,4,5,False,False,0.0
0,random,24,50.0,5,5,5,True,True,6.695472997172625e-06
0,random,25,40.0,6,5,5,True,False,8.041741786034153e-06
0,random,26,50.0,5,5,5,True,True,6.695472997172625e-06
0,random,27,50.0,5,5,5,True,True,6.695472997172625e-06
0,random,28,50.0,5,5,5,True,True,6.695472997172625e-06
0,random,29,40.0,4,4,5,False,False,0.0
0,random,30,30.0,3,3,5,False,False,0.0
0,random,31,30.0,3,3,5,False,False,0.0
0,random,32,40.0,4,4,5,False,False,0.0
0,random,33,40.0,4,4,5,False,False,0.0
0,random,34,40.0,4,4,5,False,False,0.0
0,random,35,40.0,4,4,5,False,False,0.0
0,random,36,40.0,4,4,5,False,False,0.0
0,random,37,40.0,4,4,5,False,False,0.0
0,random,38,30.0,5,4,5,False,False,0.0
0,random,39,20.0,4,3,5,False,False,0.0
