episode,method,m,score,is_IBR,is_MBR,min_eig,work,best_at
0,initial,37,30.0,True,False,0.00013766969898312497,0,0
0,greedy,10,300.0,True,True,3.654257543039137e-09,27,27
0,random,24,160.0,True,False,3.818245004741348e-05,95,129
0,learned,12,280.0,True,False,2.512468283447395e-06,200,31
1,initial,16,240.0,True,False,1.8367748579515085e-05,0,0
1,greedy,11,290.0,True,False,7.691428373139083e-08,5,5
1,random,16,240.0,True,False,1.8367748579515085e-05,100,0
1,learned,14,260.0,True,False,2.7949501869171947e-06,200,2
2,initial,1,30.0,False,False,0.0,0,0
2,greedy,11,290.0,True,False,1.1389078017675725e-08,12,12
2,random,14,240.0,False,False,0.0,93,36
2,learned,12,280.0,True,False,9.468683012840453e-07,200,15
3,initial,2,60.0,False,False,0.0,0,0
3,greedy,11,290.0,True,False,4.761177265361705e-06,11,11
3,random,12,280.0,True,False,1.6178534730137978e-07,95,36
3,learned,13,270.0,True,False,3.7824944882835025e-06,200,29
4,initial,1,30.0,False,False,0.0,0,0
4,greedy,11,290.0,True,False,3.1728040314013575e-07,12,12
4,random,9,250.0,False,False,0.0,101,33
4,learned,12,280.0,True,False,1.5727743708415952e-06,200,15
5,initial,1,30.0,False,False,0.0,0,0
5,greedy,11,290.0,True,False,3.86765213570133e-06,12,12
5,random,11,270.0,False,False,0.0,102,27
5,learned,12,280.0,True,False,3.180113011104231e-07,200,15
6,initial,14,240.0,False,False,0.0,0,0
6,greedy,10,300.0,True,True,1.6121231891782506e-06,6,6
6,random,15,250.0,True,False,4.748565378194781e-06,104,2
6,learned,14,260.0,True,False,4.442156382325424e-06,200,2
7,initial,16,240.0,True,False,2.1999142386144373e-05,0,0
7,greedy,10,300.0,True,True,5.609697497046977e-08,6,6
7,random,14,260.0,True,False,1.220232340361399e-06,106,7
7,learned,12,280.0,True,False,5.152253040039167e-06,200,6
8,initial,20,200.0,True,False,6.6390487886975924e-06,0,0
8,greedy,10,300.0,True,True,4.4912845655924686e-08,10,10
8,random,16,240.0,True,False,1.6160924221773104e-06,102,9
8,learned,12,280.0,True,False,6.209235169608638e-07,200,8
9,initial,6,180.0,False,False,0.0,0,0
9,greedy,10,300.0,True,True,1.6636067145075756e-06,6,6
9,random,13,270.0,True,False,9.619539319014221e-07,103,23
9,learned,12,280.0,True,False,1.3163868738212587e-06,200,12
10,initial,22,180.0,True,False,5.307786908520348e-06,0,0
10,greedy,11,290.0,True,False,4.496145281533153e-08,11,11
10,random,18,220.0,True,False,3.142404335326866e-06,108,12
10,learned,13,270.0,True,False,2.771930659187106e-06,200,9
11,initial,2,20.0,False,False,0.0,0,0
11,greedy,12,280.0,True,False,1.2293452857515385e-06,14,14
11,random,11,250.0,False,False,0.0,87,24
11,learned,12,280.0,True,False,1.2319271853877097e-05,200,14
12,initial,26,140.0,True,False,8.229542216789745e-05,0,0
12,greedy,10,300.0,True,True,3.9148994520078263e-07,16,16
12,random,20,200.0,True,False,3.8936912549406125e-05,102,179
12,learned,12,280.0,True,False,7.580911381044224e-06,200,20
13,initial,2,60.0,False,False,0.0,0,0
13,greedy,11,290.0,True,False,5.902964010987965e-06,11,11
13,random,12,280.0,True,False,4.30945859701647e-06,99,22
13,learned,13,270.0,True,False,4.452919976553905e-06,200,31
14,initial,15,250.0,True,False,2.180515503813117e-06,0,0
14,greedy,10,300.0,True,True,1.1761188493059149e-07,5,5
14,random,15,250.0,True,False,2.180515503813117e-06,104,0
14,learned,12,280.0,True,False,2.102078755044714e-06,200,11
15,initial,1,30.0,False,False,0.0,0,0
15,greedy,11,290.0,True,False,2.6875088458887628e-06,12,12
15,random,11,270.0,False,False,0.0,108,19
15,learned,12,280.0,True,False,2.608920305624987e-05,200,15
16,initial,6,140.0,False,False,0.0,0,0
16,greedy,11,290.0,True,False,3.898687625743539e-07,9,9
16,random,13,250.0,False,False,0.0,93,47
16,learned,13,270.0,True,False,1.4920128512311862e-05,200,9
17,initial,13,270.0,True,False,1.7423931901201828e-08,0,0
17,greedy,10,300.0,True,True,1.5901457550638025e-08,3,3
17,random,13,270.0,True,False,1.7423931901201828e-08,109,0
17,learned,13,270.0,True,False,1.7423931901201828e-08,200,0
18,initial,9,210.0,False,False,0.0,0,0
18,greedy,11,290.0,True,False,2.2240500932531755e-08,4,4
18,random,12,280.0,True,False,2.3528320739791547e-07,95,10
18,learned,12,280.0,True,False,7.1455484944055445e-06,200,9
19,initial,44,-40.0,True,False,0.0001840639896413547,0,0
19,greedy,11,290.0,True,False,3.2010864887509435e-07,33,33
19,random,27,130.0,True,False,5.6671026300418264e-05,93,88
19,learned,12,280.0,True,False,1.3130714199094385e-06,200,34
