episode,method,m,score,is_IBR,is_MBR,steps
0,initial,15,130.0,True,False,0
0,greedy,9,190.0,True,False,6
0,random,9,190.0,True,False,53
0,learned,9,190.0,True,True,6
1,initial,9,90.0,False,False,0
1,greedy,9,190.0,True,True,6
1,random,10,180.0,True,False,87
1,learned,9,190.0,True,True,6
2,initial,1,30.0,False,False,0
2,greedy,9,190.0,True,False,8
2,random,9,190.0,True,True,105
2,learned,9,190.0,True,False,8
3,initial,7,110.0,False,False,0
3,greedy,9,190.0,True,True,4
3,random,9,190.0,True,True,26
3,learned,9,190.0,True,True,4
4,initial,2,40.0,False,False,0
4,greedy,9,190.0,True,False,7
4,random,10,180.0,True,False,154
4,learned,9,190.0,True,True,7
