episode,method,m,score,is_IBR,is_MBR,steps
0,initial,15,130.0,True,False,0
0,greedy,9,190.0,True,False,6
0,random,9,190.0,True,False,53
0,learned,9,190.0,True,True,6
1,initial,9,90.0,False,False,0
1,greedy,9,190.0,True,True,6
1,random,10,180.0,True,False,87
1,learned,9,190.0,True,True,6
2,initial,1,30.0,False,False,0
2,greedy,9,190.0,True,False,8
2,random,9,190.0,True,True,105
2,learned,9,190.0,True,False,8
3,initial,7,110.0,False,False,0
3,greedy,9,190.0,True,True,4
3,random,9,190.0,True,True,26
3,learned,9,190.0,True,True,4
4,initial,2,40.0,False,False,0
4,greedy,9,190.0,True,False,7
4,random,10,180.0,True,False,154
4,learned,9,190.0,True,True,7
5,initial,7,130.0,False,False,0
5,greedy,9,190.0,True,True,2
5,random,10,180.0,True,False,73
5,learned,9,190.0,True,True,2
6,initial,1,10.0,False,False,0
6,greedy,9,190.0,True,False,8
6,random,10,180.0,True,False,177
6,learned,9,190.0,True,False,8
7,initial,12,160.0,True,False,0
7,greedy,9,190.0,True,True,3
7,random,9,190.0,True,True,84
7,learned,9,190.0,True,True,3
8,initial,8,140.0,False,False,0
8,greedy,9,190.0,True,True,3
8,random,9,190.0,True,True,15
8,learned,9,190.0,True,False,3
9,initial,16,120.0,True,False,0
9,greedy,9,190.0,True,True,7
9,random,10,180.0,True,False,87
9,learned,9,190.0,True,True,7
10,initial,11,110.0,False,False,0
10,greedy,9,190.0,True,True,6
10,random,9,190.0,True,True,21
10,learned,9,190.0,True,True,6
11,initial,7,90.0,False,False,0
11,greedy,9,190.0,True,True,4
11,random,10,180.0,True,False,37
11,learned,9,190.0,True,True,4
12,initial,1,10.0,False,False,0
12,greedy,9,190.0,True,False,8
12,random,10,180.0,True,False,56
12,learned,9,190.0,True,False,8
13,initial,12,160.0,True,False,0
13,greedy,9,190.0,True,False,3
13,random,10,180.0,True,False,119
13,learned,9,190.0,True,False,3
14,initial,6,60.0,False,False,0
14,greedy,9,190.0,True,True,5
14,random,10,180.0,True,False,194
14,learned,9,190.0,True,True,5
15,initial,4,60.0,False,False,0
15,greedy,9,190.0,True,False,7
15,random,9,170.0,False,False,38
15,learned,9,190.0,True,False,7
16,initial,1,30.0,False,False,0
16,greedy,9,190.0,True,False,8
16,random,10,180.0,True,False,195
16,learned,9,190.0,True,False,8
17,initial,9,150.0,False,False,0
17,greedy,9,190.0,True,True,2
17,random,9,190.0,True,True,145
17,learned,9,190.0,True,True,2
18,initial,7,50.0,False,False,0
18,greedy,9,190.0,True,True,6
18,random,10,180.0,True,False,33
18,learned,9,190.0,True,True,6
19,initial,9,150.0,False,False,0
19,greedy,9,190.0,True,False,2
19,random,10,180.0,True,False,28
19,learned,9,190.0,True,False,2
