episode,method,m,score,is_IBR,is_MBR,steps
0,initial,37,30.0,True,False,0
0,greedy,10,300.0,True,True,27
0,random,24,160.0,True,False,129
0,learned,12,280.0,True,False,31
1,initial,16,240.0,True,False,0
1,greedy,11,290.0,True,False,5
1,random,16,240.0,True,False,0
1,learned,14,260.0,True,False,2
2,initial,1,30.0,False,False,0
2,greedy,11,290.0,True,False,12
2,random,14,240.0,False,False,36
2,learned,12,280.0,True,False,15
3,initial,2,60.0,False,False,0
3,greedy,11,290.0,True,False,11
3,random,12,280.0,True,False,36
3,learned,13,270.0,True,False,29
4,initial,1,30.0,False,False,0
4,greedy,11,290.0,True,False,12
4,random,9,250.0,False,False,33
4,learned,12,280.0,True,False,15
5,initial,1,30.0,False,False,0
5,greedy,11,290.0,True,False,12
5,random,11,270.0,False,False,27
5,learned,12,280.0,True,False,15
6,initial,14,240.0,False,False,0
6,greedy,10,300.0,True,True,6
6,random,15,250.0,True,False,2
6,learned,14,260.0,True,False,2
7,initial,16,240.0,True,False,0
7,greedy,10,300.0,True,True,6
7,random,14,260.0,True,False,7
7,learned,12,280.0,True,False,6
8,initial,20,200.0,True,False,0
8,greedy,10,300.0,True,True,10
8,random,16,240.0,True,False,9
8,learned,12,280.0,True,False,8
9,initial,6,180.0,False,False,0
9,greedy,10,300.0,True,True,6
9,random,13,270.0,True,False,23
9,learned,12,280.0,True,False,12
10,initial,22,180.0,True,False,0
10,greedy,11,290.0,True,False,11
10,random,18,220.0,True,False,12
10,learned,13,270.0,True,False,9
11,initial,2,20.0,False,False,0
11,greedy,12,280.0,True,False,14
11,random,11,250.0,False,False,24
11,learned,12,280.0,True,False,14
12,initial,26,140.0,True,False,0
12,greedy,10,300.0,True,True,16
12,random,20,200.0,True,False,179
12,learned,12,280.0,True,False,20
13,initial,2,60.0,False,False,0
13,greedy,11,290.0,True,False,11
13,random,12,280.0,True,False,22
13,learned,13,270.0,True,False,31
14,initial,15,250.0,True,False,0
14,greedy,10,300.0,True,True,5
14,random,15,250.0,True,False,0
14,learned,12,280.0,True,False,11
15,initial,1,30.0,False,False,0
15,greedy,11,290.0,True,False,12
15,random,11,270.0,False,False,19
15,learned,12,280.0,True,False,15
16,initial,6,140.0,False,False,0
16,greedy,11,290.0,True,False,9
16,random,13,250.0,False,False,47
16,learned,13,270.0,True,False,9
17,initial,13,270.0,True,False,0
17,greedy,10,300.0,True,True,3
17,random,13,270.0,True,False,0
17,learned,13,270.0,True,False,0
18,initial,9,210.0,False,False,0
18,greedy,11,290.0,True,False,4
18,random,12,280.0,True,False,10
18,learned,12,280.0,True,False,9
19,initial,44,-40.0,True,False,0
19,greedy,11,290.0,True,False,33
19,random,27,130.0,True,False,88
19,learned,12,280.0,True,False,34
