episode,method,m,score,is_IBR,is_MBR,steps
0,initial,150,-620.0,True,False,0
0,random,109,-210.0,True,False,636
0,learned,148,-600.0,True,False,24
1,initial,51,370.0,True,False,0
1,random,50,380.0,True,False,2
1,learned,30,580.0,True,False,621
2,initial,138,-500.0,True,False,0
2,random,118,-300.0,True,False,987
2,learned,38,500.0,True,False,1000
3,initial,30,560.0,False,False,0
3,random,30,560.0,False,False,0
3,learned,25,630.0,True,False,50
4,initial,1,30.0,False,False,0
4,random,31,550.0,False,False,87
4,learned,23,650.0,True,False,380
5,initial,73,150.0,True,False,0
5,random,72,160.0,True,False,2
5,learned,63,250.0,True,False,648
6,initial,139,-510.0,True,False,0
6,random,107,-190.0,True,False,583
6,learned,50,380.0,True,False,970
7,initial,1,30.0,False,False,0
7,random,19,510.0,False,False,44
7,learned,22,660.0,True,True,922
8,initial,65,230.0,True,False,0
8,random,64,240.0,True,False,2
8,learned,33,550.0,True,False,932
9,initial,1,30.0,False,False,0
9,random,25,610.0,False,False,61
9,learned,22,660.0,True,True,54
10,initial,1,30.0,False,False,0
10,random,23,550.0,False,False,46
10,learned,20,600.0,False,False,550
11,initial,41,470.0,True,False,0
11,random,41,470.0,True,False,0
11,learned,25,630.0,True,False,832
12,initial,39,490.0,True,False,0
12,random,39,490.0,True,False,0
12,learned,26,620.0,True,False,982
13,initial,5,150.0,False,False,0
13,random,24,620.0,False,False,55
13,learned,22,660.0,True,True,542
14,initial,58,300.0,True,False,0
14,random,58,300.0,True,False,0
14,learned,58,300.0,True,False,0
15,initial,78,100.0,True,False,0
15,random,77,110.0,True,False,6
15,learned,33,550.0,True,False,874
16,initial,28,540.0,False,False,0
16,random,28,540.0,False,False,0
16,learned,23,650.0,True,False,601
17,initial,74,140.0,True,False,0
17,random,74,140.0,True,False,0
17,learned,46,420.0,True,False,888
18,initial,1,30.0,False,False,0
18,random,26,560.0,False,False,61
18,learned,25,630.0,True,False,266
19,initial,71,170.0,True,False,0
19,random,71,170.0,True,False,0
19,learned,70,180.0,True,False,30
