episode,method,m,score,is_IBR,is_MBR,steps
0,initial,9,10.0,True,False,0
0,greedy,5,50.0,True,True,4
0,random,9,10.0,True,False,1
0,optimal,5,50.0,True,True,0
1,initial,3,30.0,False,False,0
1,greedy,5,50.0,True,True,2
1,random,5,50.0,True,True,4
1,optimal,5,50.0,True,True,0
2,initial,12,-20.0,True,False,0
2,greedy,5,50.0,True,True,7
2,random,12,-20.0,True,False,3
2,optimal,5,50.0,True,True,0
3,initial,4,40.0,False,False,0
3,greedy,5,50.0,True,True,1
3,random,4,40.0,False,False,3
3,optimal,5,50.0,True,True,0
4,initial,10,0.0,True,False,0
4,greedy,5,50.0,True,True,5
4,random,9,10.0,True,False,3
4,optimal,5,50.0,True,True,0
5,initial,2,20.0,False,False,0
5,greedy,5,50.0,True,True,3
5,random,2,20.0,False,False,2
5,optimal,5,50.0,True,True,0
6,initial,6,40.0,True,False,0
6,greedy,5,50.0,True,True,1
6,random,6,40.0,True,False,8
6,optimal,5,50.0,True,True,0
7,initial,12,-20.0,True,False,0
7,greedy,5,50.0,True,True,7
7,random,10,0.0,True,False,5
7,optimal,5,50.0,True,True,0
